Attribute,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Num Instances,18,13,19,21,22,14,7,22,15,11,14,23,13,13,13,17
,,,,,,,,,,,,,,,,
3BR Change 2016-2015,,,,,,,,,,,,,,,,
value,3.3025,4.1205,3.1046,0.9087,4.4113,3.008,1.6062,4.851,1.373,1.535,-0.1343,1.4913,0.9854,6.118,1.7131,3.6919
min,-9.6534,2.3964,-5.1908,-7.9014,0.0753,0.0873,-1.8963,-2.2691,-14.4396,-1.3758,-6.2259,-1.418,-8.556,-1.2538,-3.8333,-2.6938
max,11.6788,4.8307,10.0785,9.0085,9.7585,5.3909,8.0125,28.1242,9.0758,8.8678,8.5022,8.0128,8.7787,35.6508,6.382,9.7924
mean,3.259,4.1167,3.156,0.9101,4.3925,3.0195,1.6043,4.9653,1.2167,1.5577,-0.1895,1.4613,1.0531,5.9856,1.6618,3.7055
std. dev.,6.475,1.1514,5.8064,5.5253,2.8078,2.0015,5.5576,9.6211,7.1121,3.7277,3.6938,2.6204,5.6624,10.2643,2.9347,4.1176
,,,,,,,,,,,,,,,,
3BR Change 2015-2014,,,,,,,,,,,,,,,,
value,3.3161,3.5735,3.58,3.0555,4.7059,6.9974,6.7168,5.1026,6.5269,3.2605,1.4338,3.4643,8.9473,6.1654,3.2067,6.0545
min,-0.0246,1.3219,-0.5613,0.0517,0.4753,4.5223,0.8884,-1.0804,-1.3368,-4.6639,-3.7297,-1.8519,3.4238,3.2056,-2.1372,-0.2796
max,7.9536,4.8631,8.2469,7.6185,11.627,10.4508,17.0942,10.589,9.723,6.839,9.1086,12.3234,22.3174,10.6258,7.3506,17.0626
mean,3.2907,3.5867,3.589,3.0185,4.7303,7.0001,6.6624,5.109,6.4964,3.2479,1.3976,3.4868,8.9257,6.1891,3.2205,6.1298
std. dev.,2.3326,1.5561,3.8503,2.8271,2.8936,2.4847,9.0515,3.4547,3.3056,4.4415,3.3447,4.1724,5.8024,2.4024,3.0896,4.7806
,,,,,,,,,,,,,,,,
3BR Change 2016-2014,,,,,,,,,,,,,,,,
value,6.7463,7.8377,6.8511,3.9255,9.3517,11.0333,8.296,10.3629,8.7159,4.76,1.366,4.4182,9.8846,13.4263,4.9858,10.0894
min,-7.1431,6.2165,-4.697,-5.0558,0.7114,8.4432,-1.0247,0.6302,-9.6814,-2.6017,-6.2061,0.7407,3.2432,3.8001,-1.9662,0.7959
max,16.9105,9.6802,19.1056,9.0744,17.6251,16.405,15.5682,32.1815,19.0809,9.0771,12.2549,15.6721,22.7268,42.7079,11.7668,28.5259
mean,6.6741,7.8475,6.9148,3.8896,9.3567,11.0315,8.2404,10.503,8.5382,4.7685,1.2804,4.4408,9.936,13.3105,4.9469,10.1843
std. dev.,7.4103,1.7556,8.1476,4.837,4.8803,3.695,8.4644,10.2857,8.9139,3.6798,5.5061,4.8162,6.1984,11.3108,4.6481,8.7383
,,,,,,,,,,,,,,,,
2BR Change 2016-2015,,,,,,,,,,,,,,,,
value,1.516,5.5138,4.3235,4.3849,5.0302,2.4791,0.1314,2.744,7.3401,2.7114,0.1284,3.1004,1.0108,6.8597,4.433,-1.4807
min,-21.3923,2.6531,-2.5775,-6.6419,-3.3658,-2.7371,-5.0472,-9.1498,-0.8675,-4.0224,-17.9427,-5.2202,-25.3119,1.1185,-2.7803,-13.8605
max,25.7086,8.2424,16.5215,11.6144,12.1117,9.1107,7.8461,10.7933,21.2398,14.0887,11.3601,14.0265,11.9791,14.9722,15.7348,7.7145
mean,1.6909,5.5234,4.2921,4.3613,5.001,2.4178,0.1296,2.6603,7.1539,2.6891,0.2325,3.0993,1.1436,6.8268,4.449,-1.521
std. dev.,11.0516,2.4226,5.7191,5.3069,4.5116,3.5826,5.7444,5.9924,6.8277,5.6723,7.2239,5.3831,11.2416,5.2126,6.0277,8.2541
,,,,,,,,,,,,,,,,
2BR Change 2015-2014,,,,,,,,,,,,,,,,
value,3.5564,3.8849,2.0512,4.4159,5.8008,4.4489,2.9905,1.3866,10.096,3.8941,2.8657,1.4057,7.7737,5.8446,3.7438,6.3713
min,-2.0969,0.2957,-8.1235,-1.1301,-6.2857,-1.1254,0.2409,-5.3493,-7.083,-4.2444,-4.6557,-16.5143,1.7939,1.2544,-3.681,4.4988
max,7.1377,5.6303,8.0626,17.0872,14.9613,9.2821,5.8202,7.3738,39.8452,10.4666,12.4598,8.036,21.0183,12.3048,12.7497,8.3273
mean,3.5153,3.9002,2.0176,4.4408,5.8556,4.4262,3.0001,1.3081,10.089,3.8593,2.8271,1.4725,7.7613,5.8077,3.6881,6.3692
std. dev.,2.7004,2.4792,4.6924,5.032,6.2699,3.4575,2.7902,5.048,11.3285,4.3808,4.9055,7.301,5.4533,3.7521,5.1228,1.7333
,,,,,,,,,,,,,,,,
2BR Change 2016-2014,,,,,,,,,,,,,,,,
value,2.914,9.6542,5.7353,8.9373,11.1924,7.3931,4.8979,3.3215,18.2461,6.8116,4.7184,4.676,8.7905,13.2113,8.4117,8.0166
min,-15.7815,2.9566,-10.4916,-0.1695,-9.4399,-3.8317,1.2741,-14.0097,-7.7568,-4.1767,-3.4784,-18.7735,-19.4383,4.2729,-3.681,3.4237
max,14.1444,14.3367,25.072,25.0902,28.8851,15.6542,11.016,18.963,43.5518,22.1429,12.7289,21.7728,27.3272,29.1193,27.63,12.5604
mean,2.9379,9.6799,5.6682,8.9407,11.2116,7.3125,4.8687,3.15,18.0343,6.7523,4.6896,4.7446,8.9176,13.1358,8.3723,7.9829
std. dev.,8.4875,4.985,9.3643,6.8038,9.9345,5.9573,5.3491,11.3237,14.4399,8.9668,5.4081,10.598,12.633,9.4755,9.2794,4.4428
,,,,,,,,,,,,,,,,
2016 Percent New Units Authorized,,,,,,,,,,,,,,,,
value,0.5396,1.161,0.5332,0.3751,1.9719,1.5507,0.5795,0.6383,1.1708,2.0068,1.1979,0.9546,0.6425,0.9253,1.3958,1.1505
min,0.2292,0.4838,0,0.2104,0.8669,0.4327,0.0352,0.151,0.0265,0.7035,0.1829,0.3046,0.3817,0.3169,0.5401,0.1628
max,0.897,1.8904,0.9003,0.7533,3.3541,2.9257,0.9588,1.7188,2.4652,2.8304,2.0965,1.8192,1.0964,2.6462,2.7316,2.2783
mean,0.5445,1.1609,0.5377,0.3717,1.9674,1.5369,0.585,0.6327,1.1638,2.0019,1.1968,0.9572,0.6419,0.9323,1.3965,1.1613
std. dev.,0.2144,0.4369,0.221,0.1194,0.6891,0.7341,0.3575,0.3845,0.7001,0.6299,0.5601,0.4149,0.2208,0.5653,0.6619,0.5233
,,,,,,,,,,,,,,,,
2016 Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014,,,,,,,,,,,,,,,,
value,0.7648,1.7245,0.8699,0.7142,2.6897,2.5394,1.2997,1.3881,1.8716,2.6019,2.5026,1.8213,1.0368,1.1413,2.0051,1.8088
min,0.4,0.9,0,0.3,1.5,1.1,0.8,0.3,0.6,0.5,1.6,0.5,0.2,0.3,0.9,0.6
max,1.3,3.4,2.3,1.8,4.8,5.5,1.8,2.7,3.5,5.2,3.9,3.6,2.1,1.7,4.4,3.4
mean,0.7722,1.7308,0.8789,0.7048,2.6864,2.5429,1.3,1.3909,1.88,2.6091,2.5071,1.813,1.0308,1.1462,2.0154,1.8059
